iter	Logloss
0	0.5340141346
1	0.3687908358
2	0.272479513
3	0.2216063684
4	0.1895098377
5	0.1702067007
6	0.1573122328
7	0.1483808964
8	0.1413365234
9	0.1362090453
10	0.1326604802
11	0.1290947687
12	0.1270955038
13	0.1251559565
14	0.123808469
15	0.1224297735
16	0.1213613724
17	0.1207689725
18	0.1203455088
19	0.1198357425
20	0.1192716903
21	0.118820345
22	0.1185245474
23	0.1182024748
24	0.1180822329
25	0.1178578831
26	0.1176853361
27	0.1175465281
28	0.1174186969
29	0.1173143682
30	0.1172095541
31	0.1171037279
32	0.1170339218
33	0.1169922132
34	0.1169072416
35	0.1168241976
36	0.1167813006
37	0.1167208551
38	0.1166606627
39	0.1166170929
40	0.1165903325
41	0.1165564167
42	0.1165249828
43	0.116489064
44	0.1164720359
45	0.1164406475
46	0.1164083651
47	0.116356023
48	0.1163253324
49	0.1162909302
50	0.1162686052
51	0.1162397062
52	0.1161850038
53	0.1161702329
54	0.1161434759
55	0.1161157745
56	0.1160588358
57	0.1160363011
58	0.1160127855
59	0.1159860646
60	0.1159593761
61	0.1159379172
62	0.115917921
63	0.1158962734
64	0.1158683675
65	0.1158467982
66	0.1158264974
67	0.1158037211
68	0.1157875245
69	0.1157764851
70	0.1157504201
71	0.1157173861
72	0.1157015757
73	0.1156720325
74	0.1156529958
75	0.1156134606
76	0.1155920848
77	0.1155759133
78	0.1155603375
79	0.1155470488
80	0.1155189363
81	0.1155039717
82	0.1154895919
83	0.1154708042
84	0.1154555662
85	0.1154375269
86	0.1154208901
87	0.115407542
88	0.1153857781
89	0.1153678371
90	0.1153437242
91	0.1153262637
92	0.1153099025
93	0.1152986106
94	0.115284291
95	0.1152674398
96	0.11524557
97	0.1152304944
98	0.1152183506
99	0.1152042684
100	0.1151874695
101	0.1151713038
102	0.115159262
103	0.1151457914
104	0.1151273447
105	0.115114489
106	0.1150991906
107	0.1150774518
108	0.1150654675
109	0.1150393832
110	0.1150236438
111	0.1149975668
112	0.1149825482
113	0.1149545483
114	0.1149428324
115	0.1149333156
116	0.1149147548
117	0.1148922237
118	0.114881525
119	0.1148638977
120	0.1148515499
121	0.1148362506
122	0.1148144829
123	0.1147985746
124	0.114774416
125	0.1147583141
126	0.1147389212
127	0.1147182745
128	0.1147040779
129	0.11469492513130	0.1146733066
131	0.1146614565
132	0.1146384977
133	0.1146276508
134	0.1146103079
135	0.1145981146
136	0.1145880313137	0.11456997013138	0.11455115413139	0.11454239314140	0.11452572714141	0.11450577014142	0.11449627814143	0.11447536514144	0.11446451214145	0.11445255814146	0.11442968514147	0.114419
