"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2019","8.733,1","8.681,3","8.735,4","8.674,4","112,90M","0,27%"
"30/12/2019","8.709,7","8.766,4","8.768,3","8.671,9","103,89M","-0,70%"
"27/12/2019","8.771,0","8.805,9","8.811,1","8.749,9","101,44M","-0,08%"
"26/12/2019","8.778,3","8.718,0","8.778,3","8.716,0","92,59M","0,55%"
"25/12/2019","8.730,4","8.729,8","8.732,6","8.729,1","-","0,35%"
"24/12/2019","8.699,5","8.705,3","8.708,2","8.684,1","50,47M","0,04%"
"23/12/2019","8.696,0","8.703,1","8.710,9","8.690,1","130,53M","0,20%"
"20/12/2019","8.678,5","8.666,6","8.687,7","8.656,5","465,71M","0,43%"
"19/12/2019","8.641,3","8.592,7","8.642,7","8.592,7","166,60M","0,71%"
"18/12/2019","8.580,6","8.587,2","8.608,1","8.578,6","165,63M","0,06%"
"17/12/2019","8.575,7","8.586,3","8.592,5","8.564,1","155,21M","0,06%"
"16/12/2019","8.570,3","8.544,3","8.584,8","8.542,4","178,13M","0,97%"
"13/12/2019","8.487,7","8.461,4","8.517,5","8.441,9","168,75M","0,25%"
"12/12/2019","8.466,9","8.391,9","8.493,1","8.380,1","189,66M","0,77%"
"11/12/2019","8.402,6","8.371,6","8.408,1","8.361,4","131,86M","0,58%"
"10/12/2019","8.354,3","8.364,5","8.392,9","8.339,4","130,55M","-0,10%"
"09/12/2019","8.362,7","8.388,7","8.425,8","8.359,9","134,36M","-0,41%"
"06/12/2019","8.397,4","8.370,2","8.405,8","8.365,2","127,30M","1,07%"
"05/12/2019","8.308,4","8.321,2","8.321,2","8.272,8","125,93M","0,14%"
"04/12/2019","8.296,5","8.291,9","8.316,5","8.285,9","137,57M","0,51%"
"03/12/2019","8.254,7","8.201,6","8.258,4","8.167,4","162,29M","-0,66%"
"02/12/2019","8.309,3","8.409,9","8.409,9","8.274,6","144,81M","-1,12%"
"29/11/2019","8.403,7","8.422,0","8.436,0","8.402,1","80,47M","-0,54%"
"28/11/2019","8.449,4","8.425,6","8.449,6","8.416,0","-","0,06%"
"27/11/2019","8.444,7","8.407,2","8.445,6","8.399,6","114,02M","0,70%"
"26/11/2019","8.385,7","8.374,3","8.398,0","8.364,1","233,83M","0,17%"
"25/11/2019","8.371,9","8.309,5","8.372,8","8.309,5","154,32M","1,21%"
"22/11/2019","8.272,1","8.287,2","8.292,1","8.229,5","126,47M","0,08%"
"21/11/2019","8.265,6","8.273,9","8.282,3","8.242,2","145,46M","-0,22%"
"20/11/2019","8.283,8","8.315,5","8.339,3","8.226,3","271,48M","-0,66%"
"19/11/2019","8.338,7","8.357,4","8.357,8","8.308,3","155,13M","0,12%"
"18/11/2019","8.328,5","8.303,2","8.340,4","8.274,7","151,11M","0,16%"
"15/11/2019","8.315,5","8.303,8","8.315,9","8.284,2","184,10M","0,70%"
"14/11/2019","8.257,8","8.238,9","8.264,9","8.212,6","132,49M","-0,02%"
"13/11/2019","8.259,8","8.235,7","8.274,6","8.233,4","136,69M","-0,05%"
"12/11/2019","8.263,8","8.249,6","8.293,2","8.238,3","129,36M","0,27%"
"11/11/2019","8.241,9","8.212,4","8.245,9","8.202,4","112,62M","-0,17%"
"08/11/2019","8.255,9","8.208,4","8.256,3","8.186,3","135,07M","0,44%"
"07/11/2019","8.219,6","8.237,7","8.271,8","8.198,9","166,56M","0,29%"
"06/11/2019","8.196,0","8.204,3","8.204,3","8.157,4","144,67M","-0,17%"
"05/11/2019","8.210,2","8.225,3","8.229,1","8.191,1","153,80M","-0,01%"
"04/11/2019","8.210,7","8.218,9","8.228,3","8.197,3","150,90M","0,61%"
"01/11/2019","8.161,2","8.122,0","8.162,0","8.111,7","162,54M","0,96%"
"31/10/2019","8.083,8","8.100,6","8.110,4","8.041,7","180,21M","0,01%"
"30/10/2019","8.083,1","8.056,9","8.096,3","8.017,9","140,82M","0,44%"
"29/10/2019","8.047,5","8.101,5","8.108,6","8.045,6","135,78M","-0,78%"
"28/10/2019","8.110,7","8.071,4","8.119,7","8.070,9","140,84M","1,01%"
"25/10/2019","8.029,2","7.926,6","8.033,3","7.926,6","150,68M","0,78%"
"24/10/2019","7.966,7","7.956,2","7.969,7","7.912,7","158,18M","0,98%"
"23/10/2019","7.889,5","7.858,5","7.890,2","7.845,1","136,79M","0,19%"
"22/10/2019","7.874,6","7.968,2","7.977,0","7.872,0","139,02M","-0,83%"
"21/10/2019","7.940,3","7.911,6","7.941,5","7.887,7","133,09M","0,91%"
"18/10/2019","7.868,5","7.938,3","7.946,8","7.829,8","176,07M","-0,93%"
"17/10/2019","7.942,1","7.976,6","7.981,1","7.914,9","124,57M","0,28%"
"16/10/2019","7.920,2","7.912,0","7.941,8","7.898,3","134,26M","-0,29%"
"15/10/2019","7.942,9","7.868,0","7.960,1","7.863,7","126,12M","1,28%"
"14/10/2019","7.842,3","7.834,7","7.865,7","7.827,2","112,43M","-0,02%"
"11/10/2019","7.843,9","7.835,9","7.904,1","7.831,1","180,49M","1,34%"
"10/10/2019","7.740,4","7.688,4","7.772,7","7.682,6","126,74M","0,65%"
"09/10/2019","7.690,5","7.678,7","7.717,9","7.655,5","114,22M","1,13%"
"08/10/2019","7.604,3","7.671,4","7.707,2","7.603,8","152,36M","-1,56%"
"07/10/2019","7.725,1","7.725,7","7.784,8","7.712,7","130,61M","-0,37%"
"04/10/2019","7.754,1","7.677,3","7.759,4","7.670,9","134,98M","1,51%"
"03/10/2019","7.638,4","7.557,2","7.640,4","7.463,6","152,63M","1,16%"
"02/10/2019","7.550,8","7.627,6","7.631,3","7.513,7","187,74M","-1,74%"
"01/10/2019","7.684,1","7.782,8","7.821,7","7.675,4","150,44M","-0,84%"
"30/09/2019","7.749,4","7.706,0","7.761,8","7.693,5","144,63M","0,88%"
"27/09/2019","7.681,6","7.786,0","7.790,8","7.626,8","170,02M","-1,16%"
"26/09/2019","7.772,0","7.794,3","7.798,1","7.718,7","146,93M","-0,40%"
"25/09/2019","7.803,5","7.706,5","7.822,4","7.647,6","154,55M","1,21%"
"24/09/2019","7.710,0","7.856,0","7.873,3","7.684,8","205,30M","-1,39%"
"23/09/2019","7.818,6","7.815,2","7.843,0","7.790,3","138,57M","-0,06%"
"20/09/2019","7.823,6","7.901,5","7.920,5","7.794,3","425,83M","-0,99%"
"19/09/2019","7.901,8","7.904,4","7.950,2","7.888,3","136,33M","0,17%"
"18/09/2019","7.888,6","7.877,6","7.891,2","7.791,6","148,23M","-0,00%"
"17/09/2019","7.888,8","7.849,9","7.891,2","7.841,0","131,29M","0,46%"
"16/09/2019","7.852,4","7.833,7","7.868,7","7.831,8","127,98M","-0,51%"
"13/09/2019","7.893,0","7.903,7","7.923,4","7.879,6","137,91M","-0,31%"
"12/09/2019","7.917,3","7.932,0","7.975,3","7.907,3","172,95M","0,38%"
"11/09/2019","7.887,6","7.820,7","7.888,3","7.812,1","174,74M","0,93%"
"10/09/2019","7.814,7","7.793,3","7.817,6","7.743,6","169,12M","-0,23%"
"09/09/2019","7.832,4","7.876,4","7.877,4","7.795,9","164,52M","-0,26%"
"06/09/2019","7.852,5","7.868,9","7.875,0","7.835,9","143,93M","-0,13%"
"05/09/2019","7.862,5","7.803,5","7.880,0","7.803,5","177,17M","1,86%"
"04/09/2019","7.719,2","7.683,8","7.724,9","7.663,6","152,71M","1,44%"
"03/09/2019","7.609,5","7.634,0","7.670,2","7.584,8","141,82M","-0,20%"
"02/09/2019","7.625,0","7.630,6","7.695,3","7.587,9","-","-0,07%"
"01/09/2019","7.630,3","7.676,4","7.676,4","7.593,0","-","-0,79%"
"30/08/2019","7.691,0","7.743,2","7.747,1","7.642,9","155,12M","-0,15%"
"29/08/2019","7.702,3","7.678,7","7.723,9","7.654,3","132,36M","1,51%"
"28/08/2019","7.587,9","7.536,7","7.598,1","7.500,2","127,12M","0,29%"
"27/08/2019","7.566,0","7.630,5","7.640,7","7.532,0","161,64M","-0,12%"
"26/08/2019","7.575,0","7.540,7","7.577,8","7.506,2","141,31M","1,47%"
"23/08/2019","7.465,0","7.658,5","7.722,4","7.442,9","226,23M","-3,15%"
"22/08/2019","7.707,4","7.751,0","7.764,8","7.649,3","134,14M","-0,33%"
"21/08/2019","7.733,2","7.731,7","7.754,7","7.706,6","114,96M","0,90%"
"20/08/2019","7.664,5","7.708,3","7.731,3","7.664,2","136,55M","-0,71%"
"19/08/2019","7.719,3","7.715,4","7.740,7","7.688,1","158,81M","1,52%"
"16/08/2019","7.604,1","7.548,9","7.622,7","7.548,9","172,43M","1,59%"
"15/08/2019","7.484,9","7.503,1","7.523,5","7.429,4","175,07M","-0,07%"
"14/08/2019","7.490,1","7.594,6","7.621,7","7.480,6","227,84M","-3,08%"
"13/08/2019","7.728,2","7.561,7","7.778,3","7.553,3","213,47M","2,20%"
"12/08/2019","7.561,7","7.597,2","7.623,4","7.529,0","166,70M","-1,11%"
"09/08/2019","7.646,3","7.684,6","7.709,5","7.591,1","177,03M","-1,02%"
"08/08/2019","7.724,8","7.608,0","7.726,5","7.576,8","220,27M","2,29%"
"07/08/2019","7.551,9","7.436,1","7.569,9","7.386,4","192,75M","0,41%"
"06/08/2019","7.521,3","7.492,0","7.541,7","7.432,3","188,95M","1,42%"
"05/08/2019","7.415,7","7.510,0","7.528,9","7.356,3","260,46M","-3,60%"
"02/08/2019","7.692,8","7.740,9","7.755,1","7.645,2","195,78M","-1,39%"
"01/08/2019","7.801,1","7.866,6","8.000,9","7.769,0","229,35M","-0,61%"
"31/07/2019","7.848,8","7.972,8","7.979,2","7.774,9","241,20M","-1,30%"
"30/07/2019","7.952,5","7.927,6","7.983,1","7.923,4","145,34M","-0,46%"
