"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"31/12/2020","12.888,3","12.853,0","12.904,1","12.804,8","158,54M","0,33%"
"30/12/2020","12.845,4","12.900,0","12.917,5","12.828,8","136,77M","0,01%"
"29/12/2020","12.843,5","12.909,9","12.925,5","12.816,6","155,88M","0,04%"
"28/12/2020","12.838,9","12.814,0","12.861,9","12.747,0","144,84M","1,01%"
"24/12/2020","12.711,0","12.668,2","12.732,5","12.665,8","72,67M","0,46%"
"23/12/2020","12.653,1","12.733,7","12.737,6","12.649,6","145,40M","-0,51%"
"22/12/2020","12.717,6","12.715,5","12.761,2","12.606,4","176,87M","0,22%"
"21/12/2020","12.690,3","12.575,6","12.706,4","12.474,0","216,76M","-0,38%"
"18/12/2020","12.738,2","12.786,9","12.793,5","12.611,2","682,51M","-0,11%"
"17/12/2020","12.752,1","12.741,6","12.761,0","12.686,0","178,08M","0,66%"
"16/12/2020","12.668,2","12.607,9","12.698,1","12.568,7","184,13M","0,57%"
"15/12/2020","12.595,9","12.565,3","12.596,8","12.467,6","194,79M","1,07%"
"14/12/2020","12.462,2","12.427,9","12.544,3","12.426,3","206,34M","0,70%"
"11/12/2020","12.375,4","12.327,1","12.378,6","12.236,8","170,46M","-0,21%"
"10/12/2020","12.401,7","12.268,5","12.447,8","12.226,1","182,10M","0,30%"
"09/12/2020","12.364,6","12.627,0","12.643,2","12.311,3","227,70M","-2,15%"
"08/12/2020","12.635,7","12.574,8","12.651,4","12.505,0","168,73M","0,31%"
"07/12/2020","12.596,5","12.523,6","12.610,0","12.523,1","169,91M","0,54%"
"04/12/2020","12.528,5","12.479,9","12.531,2","12.450,5","168,42M","0,49%"
"03/12/2020","12.467,1","12.469,2","12.538,9","12.445,4","180,46M","0,09%"
"02/12/2020","12.456,4","12.390,6","12.472,2","12.318,3","176,96M","0,01%"
"01/12/2020","12.455,3","12.387,6","12.510,0","12.338,4","227,09M","1,52%"
"30/11/2020","12.268,3","12.278,8","12.299,6","12.090,9","354,41M","0,08%"
"27/11/2020","12.258,2","12.220,4","12.306,7","12.214,4","101,90M","0,83%"
"26/11/2020","12.157,8","12.179,0","12.221,0","12.127,5","-","0,05%"
"25/11/2020","12.152,2","12.112,1","12.175,0","12.081,5","164,42M","0,60%"
"24/11/2020","12.079,8","11.952,7","12.094,2","11.878,3","211,73M","1,46%"
"23/11/2020","11.905,9","11.959,9","12.001,8","11.817,5","189,11M","-0,00%"
"20/11/2020","11.906,4","11.976,0","12.017,4","11.903,6","192,39M","-0,66%"
"19/11/2020","11.985,4","11.863,1","12.000,3","11.842,7","179,58M","0,76%"
"18/11/2020","11.894,7","11.963,4","12.027,1","11.892,5","200,78M","-0,69%"
"17/11/2020","11.977,5","12.030,3","12.047,1","11.964,2","194,30M","-0,30%"
"16/11/2020","12.013,4","11.925,4","12.035,5","11.891,8","213,93M","0,63%"
"13/11/2020","11.937,8","11.910,6","11.957,1","11.808,9","169,68M","0,94%"
"12/11/2020","11.827,1","11.924,1","11.976,9","11.786,1","181,21M","-0,55%"
"11/11/2020","11.892,9","11.734,8","11.904,1","11.714,3","186,65M","2,31%"
"10/11/2020","11.624,3","11.704,5","11.761,9","11.512,5","260,14M","-1,74%"
"09/11/2020","11.830,4","12.194,7","12.268,7","11.818,2","318,98M","-2,16%"
"06/11/2020","12.091,3","12.044,3","12.116,9","11.895,5","177,20M","0,11%"
"05/11/2020","12.078,1","12.021,8","12.117,0","11.977,1","210,41M","2,56%"
"04/11/2020","11.777,0","11.627,8","11.846,5","11.564,9","271,40M","4,41%"
"03/11/2020","11.279,9","11.155,8","11.356,1","11.115,6","193,87M","1,76%"
"02/11/2020","11.084,8","11.152,5","11.222,5","10.957,1","191,98M","0,29%"
"30/10/2020","11.052,9","11.265,7","11.293,8","10.960,0","265,83M","-2,62%"
"29/10/2020","11.350,7","11.214,3","11.467,4","11.187,1","214,42M","1,87%"
"28/10/2020","11.142,8","11.400,5","11.426,1","11.136,1","240,12M","-3,93%"
"27/10/2020","11.598,9","11.560,9","11.633,5","11.503,1","185,90M","0,82%"
"26/10/2020","11.504,5","11.584,2","11.708,1","11.360,7","186,91M","-1,61%"
"23/10/2020","11.692,6","11.680,7","11.693,0","11.569,1","152,72M","0,25%"
"22/10/2020","11.662,9","11.712,6","11.739,2","11.529,7","167,16M","-0,02%"
"21/10/2020","11.665,4","11.686,2","11.789,5","11.646,5","162,02M","-0,11%"
"20/10/2020","11.677,8","11.679,1","11.801,4","11.613,8","155,09M","0,37%"
"19/10/2020","11.634,3","11.913,0","11.962,5","11.606,5","184,09M","-1,84%"
"16/10/2020","11.852,2","11.952,1","12.034,1","11.824,1","194,99M","-0,39%"
"15/10/2020","11.898,6","11.767,3","11.928,6","11.765,5","158,29M","-0,72%"
"14/10/2020","11.985,4","12.105,1","12.159,2","11.913,6","176,43M","-0,81%"
"13/10/2020","12.083,2","12.131,1","12.187,8","12.032,7","200,44M","-0,04%"
"12/10/2020","12.088,1","11.900,1","12.204,8","11.880,2","233,33M","3,09%"
"09/10/2020","11.725,9","11.615,6","11.727,6","11.600,9","182,99M","1,51%"
"08/10/2020","11.550,9","11.576,4","11.582,8","11.510,2","148,36M","0,42%"
"07/10/2020","11.503,2","11.412,7","11.519,6","11.382,5","168,07M","1,88%"
"06/10/2020","11.291,3","11.476,7","11.536,4","11.256,3","194,81M","-1,89%"
"05/10/2020","11.509,1","11.345,2","11.512,1","11.336,1","162,99M","2,25%"
"02/10/2020","11.255,7","11.328,9","11.479,1","11.225,2","204,69M","-2,83%"
"01/10/2020","11.583,2","11.555,0","11.606,7","11.488,6","191,86M","1,45%"
"30/09/2020","11.418,1","11.328,5","11.535,0","11.328,5","262,85M","0,84%"
"29/09/2020","11.323,0","11.354,7","11.396,2","11.305,8","165,93M","-0,37%"
"28/09/2020","11.364,5","11.332,3","11.369,4","11.243,2","216,54M","1,91%"
"25/09/2020","11.151,1","10.910,5","11.177,7","10.851,7","201,77M","2,34%"
"24/09/2020","10.896,5","10.746,4","11.026,4","10.728,4","223,64M","0,58%"
"23/09/2020","10.833,3","11.167,2","11.179,6","10.806,1","245,50M","-3,16%"
"22/09/2020","11.186,4","11.082,1","11.207,1","10.943,3","220,92M","1,88%"
"21/09/2020","10.980,2","10.768,0","10.984,8","10.677,8","276,56M","0,40%"
"18/09/2020","10.937,0","11.147,8","11.154,0","10.769,4","537,37M","-1,30%"
"17/09/2020","11.081,0","10.965,7","11.160,0","10.936,8","271,15M","-1,48%"
"16/09/2020","11.247,6","11.467,9","11.486,1","11.243,0","233,92M","-1,67%"
"15/09/2020","11.438,9","11.432,9","11.495,4","11.367,2","216,66M","1,43%"
"14/09/2020","11.277,8","11.250,8","11.363,2","11.192,8","220,45M","1,72%"
"11/09/2020","11.087,4","11.251,2","11.280,4","10.945,2","221,40M","-0,60%"
"10/09/2020","11.154,1","11.501,4","11.566,3","11.095,9","249,80M","-2,12%"
"09/09/2020","11.395,8","11.308,2","11.480,4","11.197,1","266,99M","2,96%"
"08/09/2020","11.068,3","11.143,9","11.400,5","11.055,2","338,09M","-4,25%"
"07/09/2020","11.560,0","11.419,6","11.584,6","11.372,4","-","1,24%"
"06/09/2020","11.418,6","11.538,9","11.546,3","11.309,0","-","-1,75%"
"04/09/2020","11.622,1","11.686,2","11.846,2","11.146,0","364,55M","-1,27%"
"03/09/2020","11.771,4","12.195,8","12.235,0","11.662,1","359,31M","-5,23%"
"02/09/2020","12.420,5","12.417,5","12.439,5","12.176,2","273,59M","1,04%"
"01/09/2020","12.292,9","12.203,4","12.300,4","12.132,8","228,04M","1,50%"
"31/08/2020","12.110,7","12.017,5","12.167,5","12.000,1","298,83M","0,96%"
"28/08/2020","11.995,9","11.992,7","12.018,1","11.928,7","166,46M","0,58%"
"27/08/2020","11.926,2","11.997,9","12.048,0","11.842,8","181,53M","-0,38%"
"26/08/2020","11.971,9","11.779,3","11.979,6","11.768,0","182,20M","2,13%"
"25/08/2020","11.721,8","11.610,6","11.723,9","11.580,9","154,17M","0,82%"
"24/08/2020","11.626,2","11.703,3","11.728,1","11.535,5","178,39M","0,61%"
"21/08/2020","11.555,2","11.476,9","11.574,8","11.461,5","191,26M","0,68%"
"20/08/2020","11.477,0","11.277,0","11.497,2","11.268,5","159,03M","1,40%"
"19/08/2020","11.318,6","11.397,2","11.440,2","11.303,4","166,03M","-0,71%"
"18/08/2020","11.399,0","11.339,8","11.421,1","11.279,1","147,12M","0,98%"
"17/08/2020","11.288,6","11.232,0","11.306,5","11.228,1","156,82M","1,11%"
"14/08/2020","11.164,4","11.187,8","11.213,3","11.106,9","136,45M","-0,12%"
"13/08/2020","11.178,4","11.174,6","11.271,2","11.139,6","166,06M","0,19%"
"12/08/2020","11.157,7","10.972,1","11.190,3","10.970,9","179,14M","2,59%"
"11/08/2020","10.876,1","11.039,7","11.090,9","10.855,1","200,26M","-1,89%"
"10/08/2020","11.085,2","11.153,5","11.159,4","10.941,9","172,56M","-0,49%"
"07/08/2020","11.139,4","11.235,2","11.276,3","11.044,6","178,26M","-1,13%"
"06/08/2020","11.267,1","11.116,5","11.282,2","11.090,5","166,94M","1,27%"
"05/08/2020","11.125,4","11.107,2","11.141,7","11.077,7","153,58M","0,26%"
"04/08/2020","11.096,5","11.048,5","11.097,9","11.002,5","187,55M","0,38%"
"03/08/2020","11.055,1","11.018,0","11.085,5","10.997,7","188,62M","1,37%"
"31/07/2020","10.905,9","10.886,4","10.908,3","10.707,4","266,97M","1,78%"
"30/07/2020","10.715,5","10.578,6","10.737,0","10.531,8","186,22M","0,49%"
"29/07/2020","10.663,0","10.602,4","10.694,9","10.587,2","183,48M","1,24%"
"28/07/2020","10.532,5","10.644,3","10.662,2","10.527,4","166,36M","-1,33%"
"27/07/2020","10.674,4","10.547,1","10.689,5","10.527,6","192,23M","1,82%"
"24/07/2020","10.483,1","10.389,5","10.543,4","10.313,9","250,10M","-0,92%"
"23/07/2020","10.580,6","10.853,2","10.885,4","10.531,2","221,22M","-2,67%"
"22/07/2020","10.870,8","10.850,9","10.910,2","10.776,2","169,30M","0,35%"
"21/07/2020","10.833,1","11.015,5","11.017,4","10.800,9","178,28M","-1,09%"
"20/07/2020","10.952,1","10.673,0","10.971,5","10.621,9","179,78M","2,88%"
"17/07/2020","10.645,2","10.651,6","10.680,7","10.558,8","164,99M","0,18%"
"16/07/2020","10.626,5","10.589,9","10.658,9","10.495,1","153,12M","-0,70%"
"15/07/2020","10.701,7","10.752,1","10.780,4","10.571,0","186,63M","0,11%"
"14/07/2020","10.689,5","10.502,8","10.701,9","10.370,8","212,71M","0,82%"
"13/07/2020","10.602,2","10.951,5","11.069,3","10.574,6","228,08M","-2,16%"
"10/07/2020","10.836,3","10.751,8","10.842,8","10.639,5","160,27M","0,76%"
"09/07/2020","10.754,6","10.745,9","10.786,0","10.575,0","187,39M","0,82%"
"08/07/2020","10.666,7","10.594,4","10.669,1","10.528,8","160,41M","1,36%"
"07/07/2020","10.524,0","10.595,9","10.704,9","10.516,6","157,46M","-0,75%"
"06/07/2020","10.604,1","10.487,7","10.625,1","10.485,8","179,09M","2,66%"
"03/07/2020","10.328,9","10.348,0","10.389,3","10.310,3","-","-0,13%"
"02/07/2020","10.341,9","10.386,4","10.432,5","10.328,8","167,92M","0,61%"
"01/07/2020","10.279,2","10.160,4","10.321,8","10.142,8","167,52M","1,21%"
"30/06/2020","10.156,9","9.970,2","10.185,4","9.956,8","231,72M","1,96%"
"29/06/2020","9.961,2","9.850,5","9.965,1","9.742,9","174,38M","1,14%"
"26/06/2020","9.849,4","10.087,1","10.094,0","9.837,7","388,86M","-2,50%"
"25/06/2020","10.101,8","10.003,5","10.110,3","9.901,2","193,36M","0,99%"
"24/06/2020","10.002,7","10.183,8","10.232,4","9.943,2","231,67M","-2,03%"
"23/06/2020","10.209,8","10.192,4","10.306,9","10.172,1","186,84M","0,78%"
"22/06/2020","10.130,3","10.009,0","10.134,6","9.989,5","184,21M","1,22%"
"19/06/2020","10.008,6","10.104,6","10.121,7","9.937,8","500,55M","-0,03%"
"18/06/2020","10.012,1","9.972,4","10.018,6","9.942,1","187,25M","0,30%"
"17/06/2020","9.982,5","9.998,9","10.058,7","9.952,5","182,06M","0,33%"
"16/06/2020","9.949,4","9.983,6","10.010,9","9.801,4","230,08M","1,76%"
"15/06/2020","9.776,9","9.517,1","9.809,4","9.489,6","220,04M","1,17%"
"12/06/2020","9.663,8","9.785,6","9.849,0","9.499,1","248,83M","0,79%"
"11/06/2020","9.588,5","9.907,6","9.978,2","9.586,2","296,60M","-5,01%"
"10/06/2020","10.094,3","10.038,0","10.155,2","10.022,4","220,86M","1,28%"
"09/06/2020","9.967,2","9.861,2","10.006,9","9.859,0","196,91M","0,66%"
"08/06/2020","9.901,5","9.805,7","9.904,5","9.753,9","205,94M","0,79%"
"05/06/2020","9.824,4","9.673,1","9.846,6","9.659,5","264,66M","2,02%"
"04/06/2020","9.629,7","9.672,2","9.742,0","9.577,7","217,35M","-0,77%"
"03/06/2020","9.704,7","9.689,7","9.729,7","9.648,9","199,55M","0,49%"
"02/06/2020","9.657,3","9.603,2","9.660,1","9.511,9","196,14M","0,61%"
"01/06/2020","9.598,9","9.526,4","9.609,4","9.515,3","163,31M","0,45%"
"29/05/2020","9.555,5","9.440,6","9.573,6","9.379,9","371,13M","1,47%"
"28/05/2020","9.416,7","9.404,8","9.568,9","9.391,8","198,21M","-0,27%"
"27/05/2020","9.442,0","9.366,6","9.445,1","9.182,4","223,93M","0,55%"
"26/05/2020","9.390,0","9.570,5","9.570,5","9.379,9","213,73M","-1,25%"
"25/05/2020","9.509,1","9.457,3","9.535,6","9.416,9","-","0,56%"
"24/05/2020","9.456,1","9.419,3","9.462,6","9.393,0","-","0,45%"
"22/05/2020","9.414,0","9.363,7","9.421,9","9.325,1","140,23M","0,38%"
"21/05/2020","9.378,0","9.487,6","9.515,1","9.361,8","172,11M","-1,13%"
"20/05/2020","9.485,0","9.415,3","9.498,3","9.412,8","194,16M","2,01%"
"19/05/2020","9.298,5","9.326,3","9.422,9","9.296,2","191,26M","-0,36%"
"18/05/2020","9.331,9","9.281,4","9.367,5","9.248,8","223,30M","1,96%"
"15/05/2020","9.152,6","8.976,3","9.157,5","8.958,1","263,65M","0,64%"
"14/05/2020","9.094,4","8.946,4","9.097,8","8.860,8","219,79M","1,05%"
"13/05/2020","9.000,1","9.123,7","9.209,5","8.890,2","225,69M","-1,23%"
"12/05/2020","9.112,4","9.326,1","9.354,4","9.109,1","178,67M","-2,01%"
"11/05/2020","9.298,9","9.155,2","9.346,3","9.155,2","175,01M","0,85%"
